"","x"
"225"," 토익: 735"
"226"," 토익스피킹: 120"
"227","레벨5 "
"228"," 사회생활 경험: 비영리단체) 수원청년창업가네트워크 청숨 대표 1년 "
"229"," 경기도 청년 공동체활동 지원사업"
"230"," 매산동 청년기살리기 프로젝트"
"231","고려대학교 "
"232"," 사회학과 "
"233"," 학점 4.08(지원 당시) "
"234"," 토익: 935"
"235"," 오픽: AL "
"236"," 사회생활 경험: 컨설팅펌 3개월"
"237"," 스타트업 3개월 "
"238"," 교내 동아리 2년"
"239"," 경영학회 2년"
"240"," 교환학생 6개월"
"241"," 대외활동 1회 "
"242"," 한국사검정시험: 고급"
"243"," 컴퓨터활용능력: 1급"
"244","연세대 "
"245"," 정치외교 "
"246"," 학점 3.99 "
"247"," 오픽: IH "
"248"," 사회생활 경험: SAP KOREA 6개월"
"249","건동홍 "
"250"," 경영 "
"251"," 학점 3.7 "
"252"," 토익: 975"
"253"," 토익스피킹: 170"
"254","레벨7 "
"255"," 사회생활 경험: 중소기업 마케팅 인턴 6개월 "
"256"," 창업 공모전 대상"
"257","건국대 "
"258"," 국제무역학과 "
"259"," 학점 4.36"
"260","4.5 "
"261"," 토익: 975"
"262"," 오픽: IH "
"263"," 사회생활 경험: aT한국농수산식품유통공사 3개월 "
"264"," 무역관련프로그램1회"
"265"," 무역관련공모전1회"
"266"," 봉사활동60시간 "
"267"," 한국사검정시험: 고급"
"268"," 컴퓨터활용능력: 2급"
"269"," 기타: 물류관리사"
"270"," 국제무역사1급"
"271"," 무역영어 1급"
"272","국숭세단 "
"273"," 무역학과 "
"274"," 학점 4.14"
"275","4.5 "
"276"," 토익: 955 "
"277"," 한국사검정시험: 고급"
"278"," 컴퓨터활용능력: 2급"
"279"," 기타: GTQ2급"
"280","지방대 "
"281"," 광고홍보전공 "
"282"," 학점 3.78"
"283","4.5 "
"284"," 마케팅 공모전 입선"
"285"," 장려"
"286"," 최우수상 3회 수상"
"287","아주대 "
"288"," 경제학과"
"289"," 정치외교학과 "
"290"," 학점 4.25"
"291","4.5 "
"292"," 토익: 735"
"293"," 토익스피킹: 120"
"294","레벨 5 "
"295"," 사회생활 경험: 경기도 청년공동체 활동 지원사업 "
"296"," 매산동 청년기살리기 프로젝트"
"297","연세대 "
"298"," 정치외교 "
"299"," 학점 3.99 "
"300"," 오픽: IH "
"301"," 사회생활 경험: SAP KOREA 6개월"
"302","고려대학교 "
"303"," 불어불문학과 "
"304"," 학점 4.28 "
"305"," 오픽AL"
"306"," 토익980 "
"307"," 봉사활동 3회 (교내2회"
"308"," 교외1회)"
"309"," 번역알바 2회"
"310","경희대학교 "
"311"," 학점 3.57 "
"312"," 토익 920"
"313"," 토스 150(6) "
"314"," 학부연구생 1년"
"315"," 한국철도공사 인턴 2달"
"316"," 컴활1급"
"317"," 워드1급"
"318"," MOS MASTER"
"319"," 한능검2급"
"320","협성대학교 "
"321"," 학점 3.98 "
"322"," 토스 Lv6 "
"323"," 알바천국 서포터즈 (3개월)"
"324"," 캐시슬라이드 서포터즈 (2개월)"
"325"," KT&G 상상마케팅스쿨 9기 (2개월) "
"326"," 컴퓨터활용능력 2급"
"327"," 검색광고마케터 1급"
"328"," GTQ포토샵 1급"
"329"," 워드프로세스 1급"
"330","한국외국어대학교 "
"331"," 국제통상학과 "
"332"," 학점 3.54 "
"333"," 토익: 955"
"334"," 토익스피킹: 170"
"335","레빌7 "
"336"," 사회생활 경험: 더웰컴 인바운드팀 인턴 2개월"
"337"," 현대아산 MICE팀 인턴 2개월 "
"338"," 마케팅공모전동아리"
"339"," PT대회 최우수상 2회"
"340"," 서포터즈 4회"
"341"," 국토대장정"
"342"," 평창올림픽통역 등 다수 "
"343"," 한국사검정시험: 고급"
"344"," 기타: 컨벤션기획사 2급"
"345","국숭세단 "
"346"," 무역학과 "
"347"," 학점 4.14"
"348","4.5 "
"349"," 토익: 955 "
"350"," 한국사검정시험: 고급"
"351"," 컴퓨터활용능력: 2급"
"352"," 기타: GTQ2급"
"353","서성한 "
"354"," 어문계열 "
"355"," 학점 3.8 "
"356"," 토익 970"
"357"," 토스 레벨7"
"358","중경외시 "
"359"," 경영 "
"360"," 학점 3.9 "
"361"," 토익 945 "
"362"," 인턴 1"
"363"," 공모전 수상 1"
"364","부산대 "
"365"," 동물생명자원과학과 "
"366"," 학점 3.5 "
"367"," 오픽 AL "
"368"," 교환학생 2번"
"369"," 회사 출장영어통역"
"370","서연고 "
"371"," 식품 "
"372"," 학점 3.5 "
"373"," 토플 100 "
"374"," 해외 봉사"
"375","경희대학교 "
"376"," 학점 3.57 "
"377"," 토익 920"
"378"," 토스 150(6) "
"379"," 학부연구생 1년"
"380"," 한국철도공사 인턴 2달"
"381"," 컴활1급"
"382"," 워드1급"
"383"," MOS MASTER"
"384"," 한능검2급"
"385","경희대학교 "
"386"," 학점 3.64 "
"387"," 토익 960 "
"388"," 오픽 IH "
"389"," 외식업 아르바이트 2년 "
"390"," 교내 동아리 3년 "
"391"," 식품기사 "
"392"," 영양사 "
"393"," MOS Master"
"394","경희대학교 "
"395"," 경영학과 "
"396"," 학점 3.97 "
"397"," 토익 930 "
"398"," 영업관리 경력 2년 반(정규직)"
"399"," 인턴"
"400"," 케라시스 마케팅 공모전 참여"
"401"," 봉사활동 시간 총 130시간 이상(대부분 헌혈)"
"402","서울시립대학교 "
"403"," 학점 3.43 "
"404"," 토익 950"
"405"," 오픽 ih "
"406"," 해외 국제기구 인턴십 (6개월)"
"407","건동홍 "
"408"," 중어중문&국제통상 "
"409"," 학점 4.01 "
"410"," 토익905"
"411"," 오픽AL"
"412","성균관대학교 "
"413"," 시스템경영공학 "
"414"," 학점 3.12"
"415","SKY "
"416"," 상경 "
"417"," 학점 3.6"
"418","해외대 "
"419"," 경영학 "
"420"," 학점 3.5"
"421","4.5 "
"422"," 인턴 1회"
"423","서울중위권 "
"424"," 언론정보 "
"425"," 학점 3.61 "
"426"," 토익 950 "
"427"," 인턴 2회"
"428","동국 "
"429"," 컴퓨터 "
"430"," 학점 3.0 "
"431"," 토익955"
"432"," 토익스피킹 레벨7 "
"433"," 기술영업인턴 1회"
"434","경희대학교 "
"435"," 학점 3.57 "
"436"," 토익 920"
"437"," 토스 150(6) "
"438"," 학부연구생 1년"
"439"," 한국철도공사 인턴 2달"
"440"," 컴활1급"
"441"," 워드1급"
"442"," MOS MASTER"
"443"," 한능검2급"
"444","경희대학교 "
"445"," 학점 3.64 "
"446"," 토익 960 "
"447"," 오픽 IH "
"448"," 외식업 아르바이트 2년 "
"449"," 교내 동아리 3년 "
"450"," 식품기사 "
"451"," 영양사 "
"452"," MOS Master"
"453","경희대학교 "
"454"," 경영학과 "
"455"," 학점 3.97 "
"456"," 토익 930 "
"457"," 영업관리 경력 2년 반(정규직)"
"458"," 인턴"
"459"," 케라시스 마케팅 공모전 참여"
"460"," 봉사활동 시간 총 130시간 이상(대부분 헌혈)"
"461","서울시립대학교 "
"462"," 학점 3.43 "
"463"," 토익 950"
"464"," 오픽 ih "
"465"," 해외 국제기구 인턴십 (6개월)"
"466","해외대"
"467","대학원 "
"468"," 에너지 "
"469"," 학점 3.6"
"470","4.3 "
"471"," 토익 905 "
"472"," 인턴 2회"
"473"," 정규직 1회"
"474","지거국 "
"475"," 영상학과 "
"476"," 학점 3.90 "
"477"," 토익: 880"
"478"," 오픽: AL "
"479"," 한국사검정시험: 고급"
"480"," 컴퓨터활용능력: 1급"
"481","건국대 "
"482"," 국제무역학 "
"483"," 학점 4.36"
"484","4.5 "
"485"," 토익: 975"
"486"," 오픽: IH "
"487"," 사회생활 경험: aT한국농수산식품유통공사 3개월 "
"488"," 무역관련프로그램1회"
"489"," 무역관련공모전1회"
"490"," 봉사활동60시간 "
"491"," 기타: 물류관리사"
"492"," 국제무역사1급"
"493"," 무역영어 1급"
"494","SKY "
"495"," 경영학과 "
"496"," 학점 3.7 "
"497"," 토익 990"
"498"," 오픽 AL "
"499"," 인턴 2회"
"500"," 대외활동 2회"
"501"," 공모전 1회"
"502","연세대 "
"503"," 정치외교 "
"504"," 학점 3.99 "
"505"," 오픽: IH "
"506"," 사회생활 경험: SAP KOREA (인턴 6개월)"
"507","문과 "
"508"," 학점 4.32 "
"509"," 토익 980 "
"510"," 인턴 경험 1회"
"511","해외대 "
"512"," 경영학과 "
"513"," 학점 4.25 "
"514"," 토익스피킹 레벨8 "
"515"," 인턴 2회"
"516","해외대 "
"517"," 국제관계학 "
"518"," 학점 3.7 "
"519"," 토익 980"
"520","학점 3.59 "
"521"," 토익 765 "
"522"," 인턴1회"
"523"," 대외활동 1회"
"524","서성한 "
"525"," 어문 "
"526"," 학점 3.7 "
"527"," 토익 985 "
"528"," 인턴 2회"
"529","국민대 "
"530"," 학점 3.24 "
"531"," 토익 980"
"532"," 오픽 AL "
"533"," 인턴 2회"
"534","인서울 사립대 "
"535"," 경제 "
"536"," 학점 3.8 "
"537"," 토익 970 "
"538"," 공기업 인턴"
"539"," 봉사동아리"
"540","서성한 "
"541"," 비상경 "
"542"," 학점 4.2 "
"543"," 오픽 AL "
"544"," 인턴1회"
"545"," 봉사 200시간"
"546","학점 3.7"
"547","중경외시 "
"548"," 국제통상 & 영어 "
"549"," 학점 3.54 "
"550"," 토익 985"
"551"," 오픽 AL "
"552"," 인턴 2회"
"553"," 현재 신촌 소재 한 대학교 행정조교 外"
"554","연대 "
"555"," 경영 "
"556"," 학점 3.74 "
"557"," 오픽 AL"
"558"," 토익 980"
"559"," HSK 3 "
"560"," 공모전 수상 5회"
"561"," 인턴2회"
"562"," 스타트업 근무 1년"
"563"," 봉사2회"
"564"," GTQ자격증"
"565"," 해외경험 8년"
"566","인서울 사립대 "
"567"," 경제 "
"568"," 학점 3.8 "
"569"," 토익 970 "
"570"," 공기업 인턴"
"571"," 봉사동아리"
"572","수원지역 "
"573"," 경영학과 "
"574"," 학점 3.13 "
"575"," 토익 800 "
"576"," 인턴 1"
"577"," 대외활동 3"
"578"," 봉사활동 1"
"579","학점 3.7"
"580","서성한 "
"581"," 비상경 "
"582"," 학점 4.2 "
"583"," 오픽 AL "
"584"," 인턴1회"
"585"," 봉사 200시간"
"586","연대 "
"587"," 경영 "
"588"," 학점 3.74 "
"589"," 오픽 AL"
"590"," 토익 980"
"591"," HSK 3 "
"592"," 공모전 수상 5회"
"593"," 인턴2회"
"594"," 스타트업 근무 1년"
"595"," 봉사2회"
"596"," GTQ자격증"
"597"," 해외경험 8년"
"598","중경외시 "
"599"," 국제통상 & 영어 "
"600"," 학점 3.54 "
"601"," 토익 985"
"602"," 오픽 AL "
"603"," 인턴 2회"
"604"," 현재 신촌 소재 한 대학교 행정조교 外"
"605","서성한 "
"606"," 커뮤니케이션 "
"607"," 학점 3.8 "
"608"," 토익 965"
"609","상위권 "
"610"," 경영학 "
"611"," 학점 3.9 "
"612"," 토익 905 "
"613"," 봉사활동 2년"
"614"," 리더십학회"
"615"," 운동 동아리 등"
"616","중경외시 "
"617"," 경영 "
"618"," 학점 3.9 "
"619"," 토익 945 "
"620"," 오픽 IH "
"621"," 마케팅 인턴 2회"
"622"," 대외활동 2회"
"623"," 마케팅 공모전 수상"
"624"," 영업직 정규직 근무"
"625","연세대학교 "
"626"," 사회학과 "
"627"," 학점 3.88 "
"628"," 토익 990"
"629"," 토스 170"
"630"," 오픽 IH"
"631","중경외시 "
"632"," 경영 "
"633"," 학점 3.9 "
"634"," 토익 945"
"635"," 오픽 IH "
"636"," 인턴 1회(마케팅)"
"637"," 마케팅 공모전 수상 1회"
"638"," 마케팅 대외활동 우수상 1회"
"639","정규직 근무 2회"
"640","서울소재 4년제 "
"641"," 어문계열 "
"642"," 학점 3.74 "
"643"," 토익 960"
"644","연세대학교 "
"645"," 경영학과 "
"646"," 학점 3.68 "
"647"," 토익 990"
"648"," 토플 108"
"649"," 오픽 IH "
"650"," 준 정부기관 6개월 인턴"
"651","지거국 "
"652"," 학점 3점 초반 "
"653"," 토익 有 "
"654"," 인턴 1회"
"655"," 자격증 보유"
"656","칭화대학교 "
"657"," 중어중문학 "
"658"," 학점 3.68 "
"659"," 오픽 IH "
"660"," 중국 마케팅 경험"
"661","해외대 "
"662"," 신문방송학과 "
"663"," 학점 3.77 "
"664"," 토플 89 "
"665"," 인턴 2회"
"666"," 대외활동 5회"
"667","성균관대 "
"668"," 영어영문 "
"669"," 학점 3.6 "
"670"," 토익 940"
"671"," 오픽 AL "
"672"," 대홍기획 인턴 4개월"
"673","대학원 석사과정 "
"674"," 경영 (마케팅) "
"675"," 학점 학부기준 3.84 "
"676"," 토익 920 "
"677"," 봉사활동 2"
"678"," 대외활동 2"
"679","서성한 "
"680"," 관광"
"681","경영 "
"682"," 학점 4.01 "
"683"," 토익 950"
"684"," 오픽 IM3 "
"685"," 온라인마케팅회사 인턴중해외 기구 인턴경험"
"686"," 봉사활동 유"
"687"," 공모전경험 유"
"688","성균관대 "
"689"," 영어영문 "
"690"," 학점 3.6 "
"691"," 토익 940"
"692"," 오픽 AL "
"693"," 대홍기획 인턴 4개월"
"694","서울4년제 "
"695"," 사회 "
"696"," 학점 3.6 "
"697"," 오픽 AL"
"698"," 중국어 HSK6급 "
"699"," 봉사활동 2년 학회"
"700","A대 "
"701"," 경영 "
"702"," 학점 4.23 "
"703"," 토익 850 "
"704","토익스피킹 레벨6"
"705","학점 4.12 "
"706"," 토익 965"
"707"," 오픽 AL"
"708","서성한 "
"709"," 의류"
"710","의상 "
"711"," 학점 4.13 "
"712"," 토익 955 "
"713"," 인턴 3회"
"714"," 수상 2회"
"715","해외대 "
"716"," 마케팅 "
"717"," 학점 4.1"
"718","지국 "
"719"," 국어국문 "
"720"," 학점 3.4 "
"721"," 해외 거주 1.6개월"
"722"," 기업 해외봉사단 2회"
"723"," 개인 봉사 260 시간"
"724"," 인턴 1회"
"725","한양대 "
"726"," 관광 "
"727"," 학점 3.79 "
"728"," 토스 150"
"729","해외대 "
"730"," 인사조직학 "
"731"," 학점 3.1 "
"732"," hr 인턴 2번"
"733","서울 중하위 "
"734"," 중문과 "
"735"," 학점 3.75 "
"736"," X"
"737","서울 중상위 "
"738"," 인문 "
"739"," 학점 3.77 "
"740"," 토스 레벨6"
"741","SKY "
"742"," 인문계열 "
"743"," 학점 4.0 "
"744"," 토익 940 "
