"","x"
"218"," 항공우주 및 기계공학과 "
"219"," 학점 3.43"
"220","4.5 "
"221"," 토익스피킹: 130"
"222","레벨6 "
"223"," 사회생활 경험: 포레시아코리아 인턴 1개월"
"224"," (주)나라엘 아르바이트 2개월"
"225"," (주)월드센추리 아르바이트 1개월 "
"226"," 교내 축구 동아리 "
"227"," 컴퓨터활용능력: 2급"
"228"," 기타: 6시그마 BB"
"229","지거국 "
"230"," 불어불문학과 "
"231"," 학점 3.6 "
"232"," 토스 레벨6 "
"233"," 인턴 3회"
"234","연세대학교 "
"235"," 학점 3.49 "
"236"," 오픽 IM3 "
"237"," 정보처리기사"
"238","경북 "
"239"," 신소재 "
"240"," 학점 3.64 "
"241"," 오픽 IM2 "
"242"," 미국해외인턴1년 (FCA라는 마세라티"
"243"," JEEP 만드는 기업 협력업체)현장실습 (분말야금 연구)해외기업탐방"
"244"," 특정기업 초청 콘서트"
"245","과기원 "
"246"," 도시 "
"247"," 학점 3점대 "
"248"," 토스 LV7 "
"249"," 연구실"
"250","한양대학교 대학원 "
"251"," 산업디자인 "
"252"," 학점 4.31 "
"253"," 토익 825 "
"254"," 삼성물산 정직원 5년차 퇴직"
"255"," 공모전 7회 수상"
"256"," 프로젝트 2회"
"257"," 논문2편 작성"
"258","인천대학교 "
"259"," 학점 3.5 "
"260"," 오픽 IM2 "
"261"," 교내 연구실 활동(9개월)"
"262"," 워드 1급"
"263"," 컴활 2급"
"264"," 위험물기능사"
"265","고려대학교(안암) "
"266"," 전기전자 "
"267"," 학점 3.38 "
"268"," 토익860"
"269"," 토익스피킹 레벨6"
"270","광명상가 "
"271"," 행정 "
"272"," 학점 4.16"
"273","4.5 "
"274"," 토익: 800"
"275"," 오픽: IH "
"276"," 사회생활 경험: ROTC 28개월"
"277"," 동원홈푸드 인턴1개월"
"278","계명대학교 "
"279"," 정치외교학 "
"280"," 학점 4.11"
"281","4.5 "
"282"," 토익: 905"
"283"," 오픽: IH "
"284"," 사회생활 경험: 직장 iCollection 1년 8개월 "
"285"," 한국사검정시험: 고급"
"286"," 컴퓨터활용능력: 1급"
"287","계명대학교 "
"288"," 정치외교학 "
"289"," 학점 4.11"
"290","4.5 "
"291"," 토익: 905"
"292"," 오픽: IH "
"293"," 사회생활 경험: 직장 iCollection 1년 8개월 "
"294"," 한국사검정시험: 고급"
"295"," 컴퓨터활용능력: 2급"
"296","동아대학교 "
"297"," 학점 3.67 "
"298"," 토익 840"
"299"," 토스 레벨7 "
"300"," 아프리카 해외봉사 1년"
"301"," 소상공인 경영지원 프로그램 3개월"
"302"," 컴퓨터활용능력 1급"
"303"," 워드프로세서 1급"
"304"," 한국사능력검정 1급"
"305","지방사립대 "
"306"," 식품생명학과 "
"307"," 학점 3.51"
"308","4.5 "
"309"," 토익: 820 "
"310"," 한국사검정시험: 고급"
"311"," 기타: 워드1급"
"312","서울 4년제 "
"313"," 전기공학과 "
"314"," 학점 4.31"
"315","4.5 "
"316"," 토익: 845"
"317"," 오픽: IH "
"318"," 사회생활 경험: LG 회로설계 6개월 "
"319"," 플랜트 전문인력 양성과정"
"320"," 한전 송배전 전력기술 캠프 "
"321"," 한국사검정시험: 중급"
"322"," 컴퓨터활용능력: 1급"
"323"," 기타: 전기기사"
"324"," 전기공사기사"
"325","지거국 "
"326"," 전자공 "
"327"," 학점 3.4 "
"328"," 토익: 800 "
"329"," true"
"330","건국 "
"331"," 경제 "
"332"," 학점 3.75"
"333","지거국"
"334"," 서성한 "
"335"," 신소재 "
"336"," 학점 3.64"
"337","4.5"
"338"," 4.14"
"339","4.5 "
"340"," 토익스피킹: 130"
"341","레벨6 "
"342"," 기타: 워드프로세서"
"343"," MOS 2010 master"
"344","서성한 "
"345"," 전자공학부 "
"346"," 학점 4.12 "
"347"," 토익: 910"
"348"," 토익스피킹: 160"
"349","레벨7"
"350"," 오픽: IH"
"351","건국대 "
"352"," 경제학과 "
"353"," 학점 3.75 "
"354"," 오픽: Ih "
"355"," 사회생활 경험: 한국전력공사"
"356","3개월 인플루언서 마케팅 스타트업"
"357","4개월"
"358","항공대 "
"359"," 항공우주 및 기계공학과 "
"360"," 학점 3.43"
"361","4.5 "
"362"," 토익스피킹: 130"
"363","레벨6 "
"364"," 사회생활 경험: 포레시아코리아 인턴 1개월"
"365"," (주)나라엘 아르바이트 2개월"
"366"," (주)월드센추리 아르바이트 1개월 "
"367"," 교내 축구 동아리 "
"368"," 컴퓨터활용능력: 2급"
"369"," 기타: 6시그마 BB"
"370","수도권 사립대 "
"371"," 재료공학 "
"372"," 학점 3.4"
"373","4.5 "
"374"," 토익스피킹: 130"
"375","레벨6 "
"376"," 사회생활 경험: 유니셈 인턴 3개월"
"377","경희대 "
"378"," 신소재공학과 "
"379"," 학점 3.61"
"380","4.5 "
"381"," 토익: 940"
"382"," 오픽: IH "
"383"," 사회생활 경험: 학부연구생 (8개월) ULVAC 인턴 (1개월)"
"384","경기대 "
"385"," 외식조리"
"386"," 러시아어문 "
"387"," 학점 3.5 "
"388"," 토익스피킹 레벨6"
"389"," 러시아어 토르플 2단계 "
"390"," 봉사 79시간"
"391"," 대외수상 12번"
"392"," 교내활동 5번"
"393"," 대외활동 5번"
"394","한양대학교 대학원 "
"395"," 산업디자인 "
"396"," 학점 4.31 "
"397"," 토익 825 "
"398"," 삼성물산 정직원 5년차 퇴직"
"399"," 공모전 7회 수상"
"400"," 프로젝트 2회"
"401"," 논문2편 작성"
"402","고려대학교(안암) "
"403"," 전기전자 "
"404"," 학점 3.38 "
"405"," 토익860"
"406"," 토익스피킹 레벨6"
"407","연세대학교 "
"408"," 학점 3.49 "
"409"," 오픽 IM3 "
"410"," 정보처리기사"
"411","경북 "
"412"," 신소재 "
"413"," 학점 3.64 "
"414"," 오픽 IM2 "
"415"," 미국해외인턴1년 (FCA라는 마세라티"
"416"," JEEP 만드는 기업 협력업체)현장실습 (분말야금 연구)해외기업탐방"
"417"," 특정기업 초청 콘서트"
"418","지거국 "
"419"," 불어불문학과 "
"420"," 학점 3.6 "
"421"," 토스 레벨6 "
"422"," 인턴 3회"
"423","인천대학교 "
"424"," 학점 3.5 "
"425"," 오픽 IM2 "
"426"," 교내 연구실 활동(9개월)"
"427"," 워드 1급"
"428"," 컴활 2급"
"429"," 위험물기능사"
"430","과기원 "
"431"," 도시 "
"432"," 학점 3점대 "
"433"," 토스 LV7 "
"434"," 연구실"
"435","계명대학교 "
"436"," 정치외교학 "
"437"," 학점 4.11"
"438","4.5 "
"439"," 토익: 905"
"440"," 오픽: IH "
"441"," 사회생활 경험: 직장 iCollection 1년 8개월 "
"442"," 한국사검정시험: 고급"
"443"," 컴퓨터활용능력: 1급"
"444","광명상가 "
"445"," 행정 "
"446"," 학점 4.16"
"447","4.5 "
"448"," 토익: 800"
"449"," 오픽: IH "
"450"," 사회생활 경험: ROTC 28개월"
"451"," 동원홈푸드 인턴1개월"
"452","계명대학교 "
"453"," 정치외교학 "
"454"," 학점 4.11"
"455","4.5 "
"456"," 토익: 905"
"457"," 오픽: IH "
"458"," 사회생활 경험: 직장 iCollection 1년 8개월 "
"459"," 한국사검정시험: 고급"
"460"," 컴퓨터활용능력: 2급"
"461","동아대학교 "
"462"," 학점 3.67 "
"463"," 토익 840"
"464"," 토스 레벨7 "
"465"," 아프리카 해외봉사 1년"
"466"," 소상공인 경영지원 프로그램 3개월"
"467"," 컴퓨터활용능력 1급"
"468"," 워드프로세서 1급"
"469"," 한국사능력검정 1급"
"470","지방사립대 "
"471"," 식품생명학과 "
"472"," 학점 3.51"
"473","4.5 "
"474"," 토익: 820 "
"475"," 한국사검정시험: 고급"
"476"," 기타: 워드1급"
"477","경중외시 "
"478"," 영어영문 "
"479"," 학점 3.67 "
"480"," 토익 910 "
"481"," 인턴 1"
"482","경북대학교 "
"483"," 학점 3.94 "
"484"," 토스6 "
"485"," 삼성전기 인턴"
"486"," 컴퓨터활용능력 1급"
"487"," 위험물 산업기사"
"488","아주대 "
"489"," 학점 3.47 "
"490"," 오픽 IH "
"491"," 가스안전공사(2018년 상반기 인턴)"
"492"," 가스연구원(현 5개월차 재직중)"
"493"," 전기기사"
"494"," 이외 자격증 5개"
"495","단국대학교 "
"496"," 학점 3.81 "
"497"," 토익 790 오픽 IM2 "
"498"," 한국서부발전 체험형 인턴 2개월"
"499","동아대학교 "
"500"," 학점 3.87 "
"501"," 토익 890"
"502"," 오픽 IM2 "
"503"," 국제 캡스톤 디자인 캠프 - 대상"
"504"," 교내 영어회화 동아리 회장 3년"
"505"," 부산아시아드볼런티어 봉사단 봉사활동(6개월)"
"506"," 산업안전기사"
"507"," ERP정보관리사 생산1급"
"508"," 컴퓨터 활용능력 2급"
"509"," 생산현장관리사 2급"
"510","전북대학교 "
"511"," 학점 3.95 "
"512"," 토익 740"
"513"," 토익스피킹 레벨5 "
"514"," 일반기계기사"
"515"," 농촌진흥청 현장실습(2015 상반기)"
"516","수도권4년제 "
"517"," 신소재 "
"518"," 학점 3.5 "
"519"," 오픽 IM2"
"520","한양대학교 "
"521"," 전자컴퓨터통신공학과 "
"522"," 학점 4.3 "
"523"," 토스 Level 5 "
"524"," 학부 연구생 및 대학원"
"525","광운대학교 "
"526"," 학점 2.98 "
"527"," 토익 780"
"528"," 토스 Lv 6 "
"529"," 교내 공로상"
"530"," 총동아리연합회장"
"531","서성한 "
"532"," 기계공학부 "
"533"," 학점 3.9"
"534","4.5 "
"535"," 오픽: IM2"
"536","연세대 "
"537"," 경영학과 "
"538"," 학점 4.03"
"539","4.3 "
"540"," 토익: 915"
"541"," 토익스피킹: 140"
"542","레벨6 "
"543"," 사회생활 경험: (주)유니브 인턴 2개월 "
"544"," DB손해보험 서포터즈 "
"545"," 한국사검정시험: 고급"
"546"," 컴퓨터활용능력: 1급"
"547","한국외대 "
"548"," 학점 4.27 "
"549"," 토익스피킹 레벨7 "
"550"," 봉사활동 2회"
"551"," 동아리 1회"
"552","건동홍 중 하나 "
"553"," 컴퓨터공학과 "
"554"," 학점 3.42 "
"555"," 토익 810"
"556","연세대학교 "
"557"," 학점 3.49 "
"558"," 오픽IM3 "
"559"," 정보처리기사"
"560","서연고 "
"561"," 화공생명공학과 "
"562"," 학점 3.6 "
"563"," 토스 level 6"
"564"," 토익 925 "
"565"," 대학원 연구실 인턴"
"566","수도권대학교 "
"567"," 산업경영공학과 "
"568"," 학점 3.59 "
"569"," 인턴 1회(6개월)"
"570","경제학 "
"571"," 학점 3.6 "
"572"," AL 990"
"573","건동홍 중 하나 "
"574"," 컴퓨터공학과 "
"575"," 학점 3.42 "
"576"," 토익 810"
"577","한국외대 "
"578"," 학점 4.27 "
"579"," 토익스피킹 레벨7 "
"580"," 봉사활동 2회"
"581"," 동아리 1회"
"582","경제학 "
"583"," 학점 3.6 "
"584"," AL 990"
"585","연세대학교 "
"586"," 학점 3.49 "
"587"," 오픽IM3 "
"588"," 정보처리기사"
"589","수도권대학교 "
"590"," 산업경영공학과 "
"591"," 학점 3.59 "
"592"," 인턴 1회(6개월)"
"593","서연고 "
"594"," 화공생명공학과 "
"595"," 학점 3.6 "
"596"," 토스 level 6"
"597"," 토익 925 "
"598"," 대학원 연구실 인턴"
"599","서울 중상위권 "
"600"," 식품공학 "
"601"," 학점 3.67 "
"602"," 토익 920"
"603","영남대학교 "
"604"," 학점 3.83 "
"605"," 토익 870"
"606"," 토스 lv6 150점 "
"607"," 교내 봉사동아리 회장"
"608"," 프랜차이즈 아르바이트 4년"
"609"," 한국사 1급"
"610"," 일반기계기사"
"611"," 자동차정비기능사"
"612","학점 3.67 "
"613"," 토익 900"
"614","지방대 "
"615"," 경영학 "
"616"," 학점 4.44 "
"617"," 토익 990"
"618"," 오픽 AL"
"619","인서울 "
"620"," 산업공학과 "
"621"," 학점 3.65 "
"622"," 토스 lv6"
"623","국"
"624","숭"
"625","세"
"626","단 "
"627"," 경영 "
"628"," 학점 3.7 "
"629"," 토스 6 "
"630"," 증권사 인턴 1"
"631"," 봉사활동 유"
"632","수도권 "
"633"," 항공우주공학 "
"634"," 학점 3.38 "
"635"," 토익 860"
"636"," 토스 120"
"637","화학과 "
"638"," 학점 3.4 "
"639"," 인턴 1회"
"640"," 전국 규모 공모전 최우수상"
"641"," 교내 졸업작품 대상"
"642"," 여러 자잘한 공모전 우수상 ~ 장려상"
"643"," 핵데이나 기업에서 운영하는 활동 3회 창업"
"644","중경 "
"645"," 산업공학과 "
"646"," 학점 4.08 "
"647"," 토스 lv.6 "
"648"," 인턴 1회"
"649"," 공모전 수상경력 1회"
"650","인서울 "
"651"," 기계과 "
"652"," 학점 3.33 "
"653"," 오픽 IM1 "
"654"," 공모전 1"
"655"," 대외활동 3"
"656","서울과학기술대학교 "
"657"," 학점 3.86 "
"658"," 토스 레벨 6 "
"659"," 토목기사"
"660","중앙대학교 "
"661"," 화학신소재공학부 "
"662"," 학점 3.78 "
"663"," 토스 level 6 "
"664"," X"
"665","수도권 "
"666"," 항공우주공학 "
"667"," 학점 3.38 "
"668"," 토익 860"
"669"," 토스 120"
"670","국"
"671","숭"
"672","세"
"673","단 "
"674"," 경영 "
"675"," 학점 3.7 "
"676"," 토스 6 "
"677"," 증권사 인턴 1"
"678"," 봉사활동 유"
"679","광운대학교 "
"680"," 전자공학과 "
"681"," 학점 3.73 "
"682"," 오픽 IH"
"683","서성한 "
"684"," 철학 "
"685"," 학점 3.6 "
"686"," 토익 865"
"687"," 토스 레벨6"
"688"," hsk 4 "
"689"," 알바 많이"
"690"," 모센터 자원활동가"
"691","설포카 "
"692"," 건설환경 "
"693"," 학점 3.67 "
"694"," 토익 865"
"695"," 토스 lv.6 "
"696"," 해외대학졸"
"697","서울4년제 "
"698"," 전자공학 "
"699"," 학점 3.8 "
"700"," 토익 920"
"701"," 오픽 ih "
"702"," 해피무브 해외봉사"
"703"," 삼성증권 YAHO 교육봉사"
"704","서성한 "
"705"," 패션 관련 학과 "
"706"," 학점 3.4 "
"707"," 토익 945"
"708"," 오픽ih "
"709"," 대기업 인턴 2회"
"710","학점 3.67 "
"711"," 토익스피킹 레벨6"
"712","수도권 "
"713"," 전자 "
"714"," 학점 3.7 "
"715"," 토익 830 "
"716"," 인턴 1"
"717"," 공모전 수상 1"
"718","지거국 "
"719"," 신소재공학 "
"720"," 학점 3.8 "
"721"," 토스 level6"
"722","서강대학교 "
"723"," 전자공학과 "
"724"," 학점 3.34 "
"725"," 오픽 IM1 "
"726"," 공모전 : 한국 전자파학회 아이디어 공모전 대상"
"727","수도권 "
"728"," 기계계열 "
"729"," 학점 3.72 "
"730"," 토스 lv5 (120)"
"731","지방국립대 "
"732"," 화학공학과 "
"733"," 학점 3.71 "
"734"," 토익스피킹 레벨6"
"735","서울대 "
"736"," 물리학 "
"737"," 학점 3.05"
"738","4.3 "
"739"," 토스 레벨7 "
"740"," 3회(컨설팅 회사)"
"741","인서울 "
"742"," 화학공학과 "
"743"," 학점 4.02 "
"744"," 토익865"
"745"," 오픽IM2 "
"746"," 없음"
"747","한양대 "
"748"," 신소재 "
"749"," 학점 4.13 "
"750"," 오픽 AL"
"751","수도권 "
"752"," 화학공학 "
"753"," 학점 3.91 "
"754"," 오픽 IH "
"755"," 봉사 동아리"
"756"," 교외 공모전 수상"
"757"," 나노종합기술원 교육"
"758","중경외시 "
"759"," 전자공학 "
"760"," 학점 3.9 "
"761"," 토스 레벨7 "
"762"," 어학연수 외 2"
"763","영남대 "
"764"," 전기공학 "
"765"," 학점 3.9 "
"766"," 토익 810 "
"767"," I.E경진대회"
"768","지방 상위권 "
"769"," 산업공학과 "
"770"," 학점 3.0 "
"771"," 토스 6"
"772","지방국립 "
"773"," 화공 "
"774"," 학점 3.96(전공 4.2) "
"775"," 토익 790"
"776"," 토스 lv6"
"777","서울 중위권 "
"778"," 생명공학 "
"779"," 학점 3.5 "
"780"," 오픽 IM2"
"781","경희대학교 "
"782"," 학점 3.57 "
"783"," 토익 920"
"784"," 토스 150(6) "
"785"," 학부연구생 1년"
"786"," 한국철도공사 인턴 2달"
"787"," 컴활1급"
"788"," 워드1급"
"789"," MOS MASTER"
"790"," 한능검2급"
"791","중경외시 "
"792"," 상경계열 "
"793"," 학점 3점 초반 "
"794"," 오픽 ih "
"795"," 창업"
"796","명지대 "
"797"," 화학공학과 "
"798"," 학점 3.92 "
"799"," 토익 915"
"800"," 토익스피킹 레벨 6급"
"801","계명대 "
"802"," 생물학 "
"803"," 학점 3.82 "
"804"," 토스 6 "
"805"," 인턴1회"
"806"," 봉사다수 및 여러 활동"
"807","경기권 "
"808"," 생명공학과 "
"809"," 학점 3.9 "
"810"," 토익 790 "
"811"," 관련 인턴 1"
"812"," 행정인턴1"
"813"," 봉사1"
"814","지방국립대 "
"815"," 식품공학 "
"816"," 학점 3.96 "
"817"," 토익705"
"818"," 오픽IM2 "
"819"," 대외활동 1회"
"820","서성한 "
"821"," 생명과학 "
"822"," 학점 4점 초반 "
"823"," 토익 900 후반"
"824","서성한 "
"825"," 생명과학 "
"826"," 학점 3.6 "
"827"," 토익스피킹 레벨 6"
"828","숭실대학교 "
"829"," 정보통신전자 "
"830"," 학점 3.3 "
"831"," 토스 lv5 "
"832"," 대외활동 1회"
"833"," 공모전 1회"
"834","고려대학교 "
"835"," 통계 "
"836"," 학점 3.71 "
"837"," 오픽 IM"
"838","지방국립대 "
"839"," 전기공학 "
"840"," 학점 3.55 "
"841"," 토스 Lv.5"
"842","화학 "
"843"," 학점 3.5 "
"844"," 토익 700"
"845","메카르토닉스 "
"846"," 학점 3.2 "
"847"," 오픽 IM2 "
"848"," 연구원 4개월 인턴"
"849"," 삼성 파운더리 사업부 체험의 장"
"850","인서울 상위권 "
"851"," 화공 "
"852"," 학점 3.6 "
"853"," 토익 900"
"854"," 오픽 IH"
"855","인서울 중위 "
"856"," 화학공학과 "
"857"," 학점 4.1 "
"858"," 오픽 IM2"
"859"," 토익 865"
"860","지방대국립 "
"861"," 전자전기 "
"862"," 학점 3.77 "
"863"," 토익 855"
"864"," 토스 Lv 6(140) "
"865"," 공모전2회"
"866","서강대학교 "
"867"," 전자공학과 "
"868"," 학점 3.13 "
"869"," 토익스피킹 레벨6 "
"870"," 현대모비스 현장실무연수"
"871","중경외시 "
"872"," 국제통상 & 영어 "
"873"," 학점 3.54 "
"874"," 토익 985"
"875"," 오픽 AL "
"876"," 인턴 2회"
"877"," 현재 신촌 소재 한 대학교 행정조교 外"
"878","홍익대 "
"879"," 산공 "
"880"," 학점 3.8 "
"881"," 토익 880"
"882","지거국 "
"883"," 반도체 "
"884"," 학점 3.5 "
"885"," 오픽 IM2"
"886","인서울 "
"887"," 환경공학 "
"888"," 학점 3.55 "
"889"," 토스 레벨6"
"890","세종 "
"891"," 전자공학과 "
"892"," 학점 3.45 "
"893"," 토익 705"
"894","외대 "
"895"," 어문 계열 "
"896"," 학점 3.89 "
"897"," 토스 180 "
"898"," 스타트업 근무2회"
"899"," 동아리 다수"
"900","서울 "
"901"," 화공 "
"902"," 학점 3.5 "
"903"," 토스 레벨5"
"904","해외대 "
"905"," 경제학과 "
"906"," 학점 4.00 "
"907"," 토익 955"
"908","수도권 4년제 "
"909"," 산업공학과 "
"910"," 학점 3.65 "
"911"," 토스Lv6"
"912","건동홍 "
"913"," 화학공학과 "
"914"," 학점 3.63"
"915","4.5 "
"916"," 토익 710"
"917"," 토스 레벨6 "
"918"," 대외활동"
"919"," 동아리"
"920","인하대 "
"921"," 경영 "
"922"," 학점 3.58 "
"923"," 토익 825"
"924"," 토스 level 6 "
"925"," 서포터즈 1회 "
"926"," 가전유통 6개월"
"927","지방대 "
"928"," 전자전파 "
"929"," 학점 3.41 "
"930"," 오픽 IM "
"931"," 봉사활동"
"932"," 창의설계 금상"
"933","아주대 "
"934"," 기계공학과 "
"935"," 학점 3.64 "
"936"," 오픽 IH"
"937","고려대 "
"938"," 경영학과 "
"939"," 학점 3.75 "
"940"," 토스 180(7lv) "
"941"," 교환학생 교류회"
"942"," 독서토론 동아리"
"943","동국대학교 "
"944"," 학점 3.65 "
"945"," 토익 890"
"946"," 오픽 IH "
"947"," 인턴 1년"
"948"," 멘토링 봉사활동 2회(1년"
"949"," 6개월)"
"950","중앙대 "
"951"," 경영 "
"952"," 학점 3.8"
"953","중경외시 "
"954"," 경영 "
"955"," 학점 3.9 "
"956"," 토익 945"
"957"," 오픽 IH "
"958"," 인턴 1회(마케팅)"
"959"," 마케팅 공모전 수상 1회"
"960"," 마케팅 대외활동 우수상 1회"
"961","정규직 근무 2회"
"962","서울 중위권 "
"963"," 기계공학과 "
"964"," 학점 3.5 "
"965"," 토스 레벨 6 "
"966"," 인턴 1회"
"967","서성한 "
"968"," 화학공학과 "
"969"," 학점 4.4"
"970","연세대학교 "
"971"," 사회학과 "
"972"," 학점 3.88 "
"973"," 토익 990"
"974"," 토스 170"
"975"," 오픽 IH"
"976","인서울 "
"977"," 기계 "
"978"," 학점 3.9"
"979","수도권 "
"980"," 상경계열 "
"981"," 학점 4.17 "
"982"," 토익 845"
"983"," 토스 레벨6 "
"984"," 공모전 1회"
"985"," 대외활동 1회"
"986","서울시립대학교 "
"987"," 학점 3.38 "
"988"," 토익 865"
"989"," 토스 레벨 6 "
"990"," 일반기계기사"
"991"," 식스시그마GB"
"992","인하대 "
"993"," 통계 "
"994"," 학점 3.5 "
"995"," 토익스피킹 레벨6"
"996","건동홍 "
"997"," 경영지원 "
"998"," 학점 3.8 "
