"","x"
"210","이화여자대학교 "
"211"," 경영"
"212","통계 "
"213"," 학점 4.27"
"214","한국외대 "
"215"," 정보통신공학과 "
"216"," 학점 3.32"
"217","4.5 "
"218"," 토익: 840"
"219"," 오픽: IM2 "
"220"," 사회생활 경험: 중소 유통기업 1개월"
"221","연세대학교 "
"222"," 경영학과 "
"223"," 학점 3.77"
"224","4.3 "
"225"," 토익: 960 "
"226"," 사회생활 경험: 뤼이드 인턴 7개월"
"227","지거국 "
"228"," 임베디드 시스템 공학과 "
"229"," 학점 3.0"
"230","4.5 "
"231"," 오픽: IM2 "
"232"," 사회생활 경험: 중앙일보 인턴 8개월 "
"233"," 자율 주행 유모차 논문 발표 동상 수상 "
"234"," 기타: 정보처리기사"
"235","부산대 "
"236"," 경제학부 "
"237"," 학점 3.15 "
"238"," 토익: 845 "
"239"," 한국사검정시험: 고급"
"240","서울4년제 "
"241"," 통계학과 "
"242"," 학점 4.0 "
"243"," 토스 level6"
"244","인서울 "
"245"," 통계학과 "
"246"," 학점 4.0"
"247","중경외시 "
"248"," 경영 "
"249"," 학점 3.33 "
"250"," 토익: 865 "
"251"," 한국사검정시험: 고급"
"252","서울 4년제 중위권 "
"253"," 통계 "
"254"," 학점 3.6 "
"255"," 토익 990 "
"256"," 동아리 1회"
"257"," 외부 교육 1회"
"258","한양대학교 "
"259"," 경제금융 "
"260"," 학점 3.56 "
"261"," 오픽 IH "
"262"," 인턴 2번"
"263","지방 국립대 "
"264"," 경영학과 "
"265"," 학점 4.0 "
"266"," 토익 800후반"
"267","서울시립대학교 대학원 "
"268"," 학점 4.13 "
"269"," SAS Certified Base Programmer for SAS 9"
"270"," SAS Certified Advanced Programmer for SAS 9 SQLD"
"271"," GBSA SW-tech 전문교육 1기 (Data Scientist Academy) (1개월)"
"272"," 넥슨코리아 데이터분석 인턴 (6개월)"
"273","서울 중상위권 "
"274"," 응용통계학 "
"275"," 학점 3.69 "
"276"," 오픽 IM2"
"277"," 토익935 "
"278"," 2회"
"279","인서울 "
"280"," 통계학과 "
"281"," 학점 4.26 "
"282"," 오픽 IM2 "
"283"," 스타트업 인턴"
"284"," 빅데이터 동아리"
"285"," 빅데이터 공모전 2회 참여"
"286","지거국 "
"287"," 컴퓨터공학과 "
"288"," 학점 4.3 "
"289"," 토익 850"
"290","서성한 "
"291"," 경영 "
"292"," 학점 4"
"293","아주대 "
"294"," 산업공학 "
"295"," 학점 4.01 "
"296"," 오픽 IM"
"297","고려대 "
"298"," 산업경영공학과 "
"299"," 학점 3.86"
"300","SKY "
"301"," 수학 "
"302"," 학점 3.3 "
"303"," 토익 860 "
"304"," 토익스피킹 7 "
"305"," DB 프로젝트"
"306","단국대학교 "
"307"," 통계학과 "
"308"," 학점 3.96 "
"309"," 토익스피킹 레벨6 "
"310"," 인턴 1회"
"311"," 공모전 6회(수상 1회) "
"312"," 대외활동 3번(연합 동아리 포함)"
"313","부산대 "
"314"," 컴퓨터 "
"315"," 학점 3.2 "
"316"," 토익 805"
"317"," 오픽 IM2 "
"318"," 봉사동아리"
"319","서성한 (석사) "
"320"," 컴퓨터공학 "
"321"," 학점 3.86 "
"322"," 토익 915 "
"323"," 오픽 IH"
"324","K대 대학원 "
"325"," 통계 "
"326"," 학점 4점대 "
"327"," 토스 6급"
"328","한국외대 "
"329"," 통계학과 "
"330"," 학점 4.02 "
"331"," 오픽 IH "
"332"," 학생회장"
"333","한국외대 "
"334"," 통계학과 "
"335"," 학점 4.02 "
"336"," 오픽 IH "
"337"," 학생회장"
"338","한국외대 "
"339"," 통계학과 "
"340"," 학점 4.02 "
"341"," 오픽 IH "
"342"," 학생회장"
"343","한국외대 "
"344"," 통계학과 "
"345"," 학점 4.02 "
"346"," 오픽 IH "
"347"," 학생회장"
"348","한국외대 "
"349"," 통계학과 "
"350"," 학점 4.02 "
"351"," 오픽 IH "
"352"," 학생회장"
